,script_id,words,words_male,words_female,f_percentage,imdb_id,title,year,gross,lines_data,averageRating,numVotes
177,1153,11126,10769,357,0.03208700341542333,tt1013753,Milk,2008,38.0,6.677777777777771e+87,7.5,162460
178,1155,4757,4516,241,0.050662182047508934,tt0077928,Midnight Express,1978,130.0,5.23777777777777e+67,7.6,72074
179,1165,8364,7302,1062,0.12697274031563846,tt0183523,Mission to Mars,2000,98.0,7.53557777777777e+108,5.7,69556
180,1166,6085,4418,1667,0.2739523418241578,tt0166276,Monkeybone,2001,8.0,7.567736364000221e+61,4.7,16488
181,1169,10128,8649,1479,0.14603080568720378,tt0780571,Mr. Brooks,2007,36.0,7.535557777777772e+117,7.3,141452
182,1176,6426,4727,1699,0.26439464674758795,tt0120616,The Mummy,1999,265.0,7.777773333554362e+103,7.0,384326
183,1178,6786,3120,3666,0.5402298850574713,tt0102492,My Girl,1991,123.0,4.23544442243142e+115,6.9,70551
184,1179,9848,3308,6540,0.6640942323314378,tt0119738,My Best Friend's Wedding,1997,240.0,2.0000454510000005e+129,6.3,125943
185,1185,12152,10975,1177,0.09685648452929559,tt0110632,Natural Born Killers,1994,104.0,4.164777774777771e+95,7.3,212578
186,1186,6607,2050,4557,0.6897230210382927,tt0363282,New York Minute,2004,19.0,3.2020005222340004e+60,5.0,21430
187,1188,10265,9458,807,0.07861665854846565,tt0104990,Newsies,1992,5.0,7.777777777777772e+97,7.0,18509
188,1190,5356,2931,2425,0.4527632561613144,tt0435705,Next,2007,22.0,7.634647777477761e+92,6.2,146455
189,1196,5320,2188,3132,0.5887218045112782,tt0087800,A Nightmare on Elm Street,1984,68.0,2.1441234344066704e+80,7.5,200272
190,1208,2331,1660,671,0.2878592878592879,tt0054240,Orgy of the Dead,1965,,4.54534357634546e+33,3.0,2460
191,1211,11019,3285,7734,0.7018785733732643,tt1148204,Orphan,2009,48.0,1.0412441534144302e+84,6.9,187260
192,1212,7079,3538,3541,0.5002118943353581,tt0467200,The Other Boleyn Girl,2008,32.0,5.34574103645554e+101,6.7,101886
193,1213,5517,4676,841,0.1524379191589632,tt0035423,Kate & Leopold,2001,72.0,7.734342753444661e+87,6.4,77843
194,1215,4390,2773,1617,0.3683371298405467,tt0258000,Panic Room,2002,142.0,4.2443321400677704e+71,6.8,252935
195,1216,6199,4341,1858,0.29972576221971287,tt0395699,The Pacifier,2005,153.0,7.777723304463541e+86,5.6,86195
196,1218,6843,6568,275,0.0401870524623703,tt0187393,The Patriot,2000,182.0,6.65167763477563e+48,7.2,250729
197,1219,6247,4988,1259,0.20153673763406435,tt0213149,Pearl Harbor,2001,305.0,7.777777777500421e+85,6.2,306961
198,1220,11047,5200,5847,0.5292839684982348,tt0091738,Peggy Sue Got Married,1986,97.0,5.534202202235022e+135,6.3,32081
199,1221,7596,3953,3643,0.479594523433386,tt0054167,Peeping Tom,1960,,7.777741324264233e+164,7.7,30006
200,1222,11787,9510,2277,0.19317892593535252,tt0107808,A Perfect World,1993,65.0,3.736777767656431e+114,7.6,72330
201,1223,4203,3430,773,0.1839162502974066,tt0105128,Pet Sematary II,1992,35.0,3.75377777776557e+51,4.9,18951
202,1225,5543,1982,3561,0.6424318960851525,tt0063426,Petulia,1968,,2.3333523543233403e+63,7.1,2762
203,1241,12212,11563,649,0.05314444808385195,tt0105159,The Power of One,1992,5.0,7.777777777777762e+135,7.2,9088
204,1244,3007,2875,132,0.04389757233122714,tt0093773,Predator,1987,132.0,7.77777777777577e+30,7.8,364665
205,1245,7422,3978,3444,0.46402586903799514,tt0100405,Pretty Woman,1990,366.0,7.777742320024432e+117,7.0,281616
206,1246,11047,9874,1173,0.10618267402914819,tt0093779,The Princess Bride,1987,68.0,1.7777777777777702e+89,8.1,385156
207,1250,13837,6460,7377,0.5331357953313579,tt1041829,The Proposal,2009,190.0,4.3534334334443415e+146,6.7,289396
208,1251,8853,5926,2927,0.33062238789111037,tt0054215,Psycho,1960,545.0,7.776566677777772e+74,8.5,586606
209,1252,8498,6462,2036,0.23958578489056248,tt0114194,The Prophecy,1995,32.0,7.77776077777444e+128,6.5,28501
